,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Leshukonskoye,99,RU,1603168845,99,64.9,45.76,28.4,2.91
1,Mount Isa,12,AU,1603168814,14,-20.73,139.5,98.6,6.93
2,Rikitea,0,PF,1603168637,78,-23.12,-134.97,74.26,13.47
3,La Asuncion,0,VE,1603168845,63,11.03,-63.86,91.4,10.29
4,Vaini,40,TO,1603168845,73,-21.2,-175.2,75.2,10.29
5,Lompoc,90,US,1603168621,93,34.64,-120.46,57.2,4.7
6,Tuktoyaktuk,90,CA,1603168846,85,69.45,-133.04,21.2,11.41
7,Bluff,37,NZ,1603168846,69,-46.6,168.33,52.0,11.01
8,Kapaa,20,US,1603168846,69,22.08,-159.32,80.6,5.82
9,Myitkyina,83,MM,1603168846,67,25.38,97.4,82.36,1.59
10,Saint George,1,US,1603168659,14,37.1,-113.58,69.8,1.99
11,Comodoro Rivadavia,0,AR,1603168697,45,-45.87,-67.5,46.4,11.41
12,Sainte-Suzanne,1,RE,1603168930,57,-20.91,55.61,78.8,19.46
13,George Town,20,MY,1603168930,70,5.41,100.34,87.8,5.82
14,Pevek,23,RU,1603168930,93,69.7,170.31,26.78,13.15
15,Nyzhni Sirohozy,0,UA,1603168930,76,46.85,34.38,45.72,5.12
16,Narsaq,98,GL,1603168930,86,60.92,-46.05,33.8,1.12
17,Balikpapan,40,ID,1603168635,78,-1.27,116.83,82.4,3.36
18,Anáhuac,0,MX,1603168930,73,27.23,-100.15,79.29,21.43
19,Busselton,10,AU,1603168930,30,-33.65,115.33,79.0,8.25
20,Jalu,3,LY,1603168931,75,29.03,21.55,67.15,9.28
21,Eureka,24,US,1603168931,92,40.8,-124.16,55.0,1.99
22,Punta Arenas,56,CL,1603168635,64,-53.15,-70.92,39.2,10.29
23,Carballo,75,ES,1603168931,87,43.21,-8.69,60.8,4.7
24,Clyde River,90,CA,1603168931,91,70.47,-68.59,32.0,18.34
25,Örnsköldsvik,76,SE,1603168931,92,63.29,18.72,26.6,4.7
26,Hobart,40,AU,1603168820,55,-42.88,147.33,69.01,14.99
27,Pangnirtung,96,CA,1603168931,91,66.15,-65.71,22.91,6.24
28,Carnarvon,64,AU,1603168640,64,-24.87,113.63,73.4,16.11
29,Puerto Ayora,88,EC,1603168931,91,-0.74,-90.35,70.0,4.0
30,Khatanga,81,RU,1603168932,96,71.97,102.5,12.94,6.44
31,Ushuaia,90,AR,1603168932,93,-54.8,-68.3,35.6,24.16
32,Jamestown,90,US,1603168932,100,42.1,-79.24,54.0,3.36
33,Roseland,1,US,1603168932,82,38.42,-122.73,59.0,3.36
34,Yinchuan,4,CN,1603168932,25,38.47,106.27,63.46,19.04
35,Odienné,5,CI,1603168932,96,9.51,-7.57,70.68,3.02
36,Vestmannaeyjar,63,IS,1603168932,75,63.44,-20.27,39.13,2.95
37,Takoradze,74,GH,1603168683,89,4.88,-1.76,76.6,6.98
38,Port Blair,49,IN,1603168932,77,11.67,92.75,84.29,16.55
39,Borken,99,DE,1603168933,80,51.85,6.87,45.0,7.0
40,Hithadhoo,92,MV,1603168933,78,-0.6,73.08,82.8,12.48
41,Lüderitz,0,NA,1603168933,64,-26.65,15.16,58.01,23.51
42,Constitución,43,CL,1603168933,72,-35.33,-72.42,51.01,10.94
43,Thompson,90,CA,1603168933,73,55.74,-97.86,26.6,5.82
44,Alofi,8,NU,1603168667,73,-19.06,-169.92,77.0,16.11
45,Hermanus,39,ZA,1603168933,85,-34.42,19.23,57.99,5.01
46,Hilo,40,US,1603168760,69,19.73,-155.09,78.8,8.05
47,Mulchén,53,CL,1603168933,71,-37.72,-72.23,44.56,5.1
48,Tiksi,100,RU,1603168933,92,71.69,128.87,14.94,22.86
49,Katsuura,83,JP,1603168925,50,35.13,140.3,71.01,8.01
50,Ballina,40,AU,1603168917,53,-28.87,153.57,73.4,16.11
51,Yellowknife,90,CA,1603168934,85,62.46,-114.35,26.01,1.66
52,Caravelas,100,BR,1603168643,87,-17.71,-39.25,71.62,2.75
53,Pavlovsk,0,RU,1603168934,74,50.46,40.11,39.24,8.39
54,Albany,100,US,1603168860,79,42.6,-73.97,57.0,1.99
55,Snåase,60,NO,1603168934,92,64.25,12.38,28.4,12.75
56,Ribeira Grande,49,PT,1603168651,67,38.52,-28.7,63.75,28.43
57,Ormara,0,PK,1603168934,30,25.21,64.64,84.25,7.56
58,Choix,0,MX,1603168934,60,26.71,-108.32,80.13,2.51
59,Mossamedes,18,AO,1603168934,84,-15.2,12.15,66.58,2.15
60,Mar del Plata,4,AR,1603168728,57,-38.0,-57.56,53.01,9.17
61,Necochea,0,AR,1603168935,71,-38.55,-58.74,48.99,1.01
62,Port Elizabeth,57,ZA,1603168888,67,-33.92,25.57,60.8,24.16
63,Puerto Escondido,69,MX,1603168655,78,15.85,-97.07,79.68,6.38
64,Cidreira,1,BR,1603168935,93,-30.18,-50.21,66.45,11.61
65,Dwārka,72,IN,1603168935,67,22.24,68.97,86.76,7.63
66,Cockburn Town,93,TC,1603168935,73,21.46,-71.14,82.13,9.46
67,Mnogovershinnyy,4,RU,1603168935,84,53.94,139.92,32.58,17.4
68,Verkhnevilyuysk,99,RU,1603168935,92,63.45,120.32,27.54,8.46
69,Atuona,1,PF,1603168935,78,-9.8,-139.03,78.33,19.73
70,Codrington,91,AU,1603168637,72,-38.27,141.97,57.11,7.76
71,Jand,0,PK,1603168936,18,33.43,72.02,82.36,4.72
72,Columbia,1,US,1603168759,88,34.0,-81.03,62.6,4.38
73,Bredasdorp,57,ZA,1603168736,87,-34.53,20.04,55.4,9.17
74,Margate,100,GB,1603168908,76,51.38,1.39,57.0,4.0
75,Yumen,34,CN,1603168936,25,40.28,97.2,61.7,28.68
76,Vanavara,100,RU,1603168936,92,60.34,102.28,27.01,13.06
77,Sungai Penuh,96,ID,1603168869,69,-2.08,101.38,78.87,0.92
78,High Prairie,88,CA,1603168709,97,55.43,-116.49,19.56,5.3
79,Santa Cruz de Barahona,88,DO,1603168937,78,18.21,-71.1,78.39,4.45
80,Marsá Maţrūḩ,40,EG,1603168937,73,31.35,27.25,69.8,8.01
81,Cabo San Lucas,0,MX,1603168760,78,22.89,-109.91,82.0,10.36
82,Lorengau,100,PG,1603168937,68,-2.02,147.27,84.09,4.32
83,Nikolskoye,90,RU,1603168937,74,59.7,30.79,35.6,13.42
84,Ponta do Sol,75,PT,1603168645,88,32.67,-17.1,69.8,5.82
